Country	Year	GDP	CMR	HDI
Kuwait	1980	20962.30	37.24	
Kuwait	1981	17542.05		
Kuwait	1982	14315.74		
Kuwait	1983	13234.00		
Kuwait	1984	13135.33		
Kuwait	1985	12358.94	24.75	
Kuwait	1986	9771.63		
Kuwait	1987	11536.13		
Kuwait	1988	10167.59		
Kuwait	1989	11618.13		
Kuwait	1990	8815.17	21.19	0.705
Kuwait	1991	5422.27		0.665
Kuwait	1992	10389.31		0.659
Kuwait	1993	13514.85		0.688
Kuwait	1994	14981.76		0.718
Kuwait	1995	16535.31	14.31	0.748
Kuwait	1996	19357.62		0.772
Kuwait	1997	17746.58		0.775
Kuwait	1998	14169.14		0.78
Kuwait	1999	15434.94		0.781
Kuwait	2000	18442.81	12.09	0.781
Kuwait	2001	16588.17		0.778
Kuwait	2002	17845.49		0.78
Kuwait	2003	22147.21		0.788
Kuwait	2004	27010.65		0.789
Kuwait	2005	35590.70	11.62	0.783
Kuwait	2006	42785.60		0.788
Kuwait	2007	45780.59		0.788
Kuwait	2008	55489.38		0.79
Kuwait	2009	37563.33		0.789
Kuwait	2010	38576.38	11.78	0.788
Kuwait	2011	48623.05		0.792
Kuwait	2012	51972.18		0.796
Kuwait	2013	49389.98		0.793
Kuwait	2014	44069.04		0.796
Kuwait	2015	29874.03	8.36	0.801
Kuwait	2016	27649.73		0.804
Kuwait	2017	29754.61		0.805
Kuwait	2018	33999.24		0.807
Kuwait	2019	31999.27		0.806